Cod. Plan,Nombre Plan de negocio,Programa,Cliente,Comprador,Producto,Sub producto,Departamento,Provincia,Distrito,Ejecutado,,,,,Proyectado,,,,
,,,,,,,,,,Ventas,Venta Exportacion,Beneficiarios,Jornales,Inversion,Ventas,Venta Exportacion,Beneficiarios,Jornales,Inversion
AMA-2016-27,LECHE FRESCA DE VACA,OTROS,SOCIEDAD NACIONAL GANADERA RAYMIPAMPA,,LACTEOS,LECHE FRESCA,AMAZONAS,CHACHAPOYAS,LEIMEBAMBA,137938,0,151,0,0,468000,,0,0,0
AMA-2016-28,"MEJORAMIENTO DE LA CALIDAD DEL FREJOL CANARIO EN TÈRMINOS DE PRODUCCIÛN Y RENDIMIENTO, COSTOS, POST COSECHA, PRESENTACIÛN Y COMERCIALIZACIÛN DE LA ASO",OTROS,ASOCIACI”N FORESTAL AGROPECUARIA LA JUNGLA DE VISTA ALEGRE,,FREJOL,GRANO SECO DE FRIJOL,AMAZONAS,RODRIGUEZ DE MENDOZA,VISTA ALEGRE,1221940,0,48,0,0,225280,,0,0,0
AMA-2016-29,PRODUCCIÛN Y COMERCIALIZACIÛN DE CAFÈ TOSTADO MOLIDO-COOPARM-RODRIGUEZ DE MENDOZA,CAFE,COOPERATIVA AGRARIA RODRÕGUEZ DE MENDOZA (COOPARM),,CAFE,CAFE TOSTADO MOLIDO,AMAZONAS,RODRIGUEZ DE MENDOZA,SAN NICOLAS,20224,0,616,0,0,36000,,0,0,0
AMA-2016-29,INCREMENTO Y MEJORAMINETO DE LA PRODUCCCI”N Y COMERCIALIZACI”N DE QUESO FRESCO Y MADURO,QUESOS MADUROS,AGROINDUSTRIAS LEVANTO,,QUESO,QUESOS MADUROS,AMAZONAS,CHACHAPOYAS,LEVANTO,420800,0,10,0,0,393600,,0,0,0
ANC-2016-02,"IMPLEMENTAR PROCESOS DE VALOR AGREGADO Y ARTICULACIÛN COMERCIAL DE LA PRODUCCIÛN DE ARANDANOS EN LA COMUNIDAD CAMPESINAD NUEVO AMANECER DEL DISTRIO DE CORIS, PROVINCIA DE AIJA, REGIÛN ANCASH.",PERU BERRIES,COMUNIDAD CAMPESINA NUEVO AMANECER MARIA ESTHER DE SAN DAMIAN,,ARANDANO,ARANDANO FRESCO,ANCASH,AIJA,CORIS,94800,0,0,0,0,500000,,78,320,150000
ANC-2016-04,"IMPLEMENTACIÚN DE BPM PARA LA MEJORA DE LA CALIDAD DE PRODUCTO,IMPLEMENTANDO PROCESOS DE SELECCIÚN,CLASIFICACIÚN Y ACOPIO DE AGUAYMANTO PEQUEÒOS PRODUCTORES DE LA ASOCIACIÚN DE",PERU BERRIES,ASOCIACION DE PRODUCTORES AGRARIOS DEL CASERIO DE URANCHACRA,,AGUAYMANTO,AGUAYMANTO FRESCO,ANCASH,HUARI,HUANTAR,1133648,0,0,0,0,1500000,,81,0,50000
ANC-2016-05,"GENERAR VALOR AGREGADO A LA PRODUCCIÚN DE QUINUA EN LAS PROVICNIAS DE CARHUAZ,IMPLEMENTANDO MEJORAS EN POST COSECHA,SELECCIÚN, CLASIFICACIÚN Y EMPAQUE FINAL.",GRANOS ANDINOS,"ASOCIACION DE PRODUCTORES AGRARIOS VIRGEN DEL CARMEN DE POYOR, Y LOS CASERIOS DE C.C. SIETE IMPERIOS CARHUAZ, C.C. 07 DE OCTUBRE DE SANJAS, COMITES DE",,QUINUA,QUINUA BLANCA,ANCASH,CARHUAZ,MARCARA,1093767.5,0,0,0,0,200000,300000,180,0,0
ANC-2016-06,"IMPLEMENTACIÚN DE BPA Y MEJORAMIENTO DEL PROCESO DE COSECHA,POST COSECHA, Y ACOPIO DE QUINUA DE PRODUCTORES DEL DISTRITO DE SANTA CRUZ Y CARAZ.",GRANOS ANDINOS,ASOCIACION DE AGRICULTORES AGROPECUARIOS SAN ISIDRO DE ICHOC - HUAYLAS - SANTA CRUZ - CARAZ,,QUINUA,QUINUA BLANCA,ANCASH,HUAYLAS,,18000,0,0,0,0,50000,150000,283,0,0
ANC-2016-07,"IMPLEMENTACIÚN DE BPA Y MEJORAMIENTO DEL PROCESO DE COSECHA,POST COSECHA, Y ACOPIO DE KIWICHA DE PRODUCTORES DEL DISTRITO DE SANTA CRUZ,PROVINCIA DE HUAYLAS",GRANOS ANDINOS,ASOCIACION DE AGRICULTORES AGROPECUARIOS SAN ISIDRO DE ICHOC - HUAYLAS - SANTA CRUZ - CARAZ,,KIWICHA,KIWICHA EN GRANOS,ANCASH,HUAYLAS,,213300,0,0,0,0,500000,1000000,34,0,0
ANC-2016-08,IMPLEMENTACIÚN DE PROCESOS PARA LOGRAR LA CERTIFICACIÚN HACCP DE LA PLANTA DE PROCESAMIENTO DE GRANOS ANDINOS Y OBTENER PRODUCTOS CON VALOR AGREGADO PARA EXPORTACIÚN,GRANOS ANDINOS,DIGEST NAT S.A.C.,,KIWICHA,HOJUELAS DE KIWICHA,ANCASH,HUARAZ,HUARAZ,318258.6,0,0,0,0,200000,,18,0,0
ANC-2016-09,DESARROLLO DE MARKETING CON ACTIVIDADES DE PROMOCIÚN Y DIFUSIÚN DE PRODUCTOS ALIMENTICIOS EN BASE A CULTIVOS ANDINOS CON VALOR AGREGADO Y FACILITAR EL ACCESO A MERCADOS NACIONALES E,GRANOS ANDINOS,EMPRESA KOLLCA PRODUCTOS NATURALES,,TARWI,HARINA DE TARWI,ANCASH,HUARAZ,HUARAZ,86058,0,0,0,0,60000,,15,0,0
ANC-2016-13,MEJORAR LA CALIDAD DE LA CAL Y DERIVADOS INCORPORANDO NUEVOS CONOCIMIENTOS TECNICOS PRODUCTIVOS Y CUIDADO DEL MEDIO AMBIENTE A LOS SOCIOS DE LA ASOCIACIÚN DE PRODUCTORES ARTESANALES DE CAL DEL CALLEJÚ,OTROS,ASOCIACION DE PRODUCTORES ARTESANALES DE CAL DEL CALLEJON DE HUAYLAS. REGION ANCASH,,CAL,CAL,ANCASH,CARHUAZ,CARHUAZ,20340230,0,0,0,0,25000000,,25,0,0
ANC-2016-14,"GENERAR VALOR AGREGADO A LA PRODUCCIÚN DE FREJOL CANARIO EN LA PROVINCIA DE AIJA,DISTRITO DE CORIS,C.P. SAN DAMI‡N,IMPLEMENTANDO MEJORAS EN EL MANEJO DE POST COSECHA,SELECCIÚN,CLASIFICACIÚN Y ACOPIO Y",OTROS,AGROINDUSTRIAS PERUANAS DEL NORTE S.A.C.,,FREJOL,FRIJOL CANARIO Y PANAMITO,ANCASH,AIJA,CORIS,313600,0,0,0,0,1500000,500000,85,0,0
ANC-2016-15,"MEJORAMIENTO DEL PROCESO DE COSECHA ,POST COSECHA ACOPIO Y EMPAQUE CON VALOR AGREGADO DE HIERBAS AROMATICAS DE PEQUEÒOS PRODUCTORES DEL DISTRITO DE SIHUAS PROVINCIA DE SIHUAS",OTROS,ASOCIACION DE PRODUCTORES ECOLOGICOS DE HIERBAS AROMATICAS APEPA - SIHUAS,,HIERBAS AROMATICAS,OREGANO,ANCASH,SIHUAS,QUICHES,165000,0,0,0,0,1000,50000,119,0,0
ANC-2016-16,"ARTICULAR LA PRODUCCIÛN DE P·PRIKA DE PEQUEÒOS PRODUCTORES Y GENERAR VALOR AGREGADO DE CAPSICUM PARA EL MERCADO DE EXPORTACIÛN, PROVINCIA DE BOLOGNESI",OTROS,CORPORACION CAPAS S.A.C.,,PAPRIKA,PAPRIKA,ANCASH,HUARMEY,HUAYAN,8042831.33,8042831.33,240,0,0,50000,450000,45,0,0
ANC-2016-17,ARTICULAR LA PRODUCCIÛN DE P·PRIKA DE PEQEUÒOS PRODUCTORES Y GENERAR VALOR AGREGADO DE CAPSICUM PARA EL MERCADO DE EXPORTACIÛN. PROVINCIA DE OCROS.,OTROS,AGROEXPORTADORA SOL DE OLMOS S.A,,PAPRIKA,PAPRIKA,ANCASH,OCROS,SAN PEDRO,20294334.57,20294334.57,0,0,0,100000,1400000,50,0,0
ANC-2016-18,"IMPLEMENTACION DE ASISTENCIA TËCNICA EN EL PROCESO PRODUCTIVO DEL CULTIVO DE FLORES, MEJORANDO LA CALIDAD COMERCIAL Y EL INCREMENTO EN EL PRECIO FINAL DEL PRODUCTO.",OTROS,COMUNIDAD CAMPESINA DE HUASHAO,,ASTROMELIA,ASTROMELIA,ANCASH,YUNGAY,YUNGAY,3108625.6,0,0,0,0,150000,,45,0,0
ANC-2016-19,"IMPLEMENTACIÚN DEL SISTEMA DE CERTIFICACIÚN HACCP EN LA PLANTA DE PROCESO DE DURAZNO DE LA EMPRESA I & F E.I.R.L.,ARTICULADOR DE LA PRODUCCIÚN DE DURAZNO DE PEQUEÒOS PRODUCTORES DE LA REGIÚN ANCASH.",PALTA Y OTROS FRUTALES,IMPORTACIONES Y EXPORTACIONES FELLES E.I.R.L.,,DURAZNO,MELOCOTON FRESCO,ANCASH,OCROS,SANTIAGO DE CHILCAS,12146153.83,12146153.83,0,0,0,500000,14000000,150,0,0
ANC-2016-20,"MEJORAMIENTO DE LOS PROCESOS DE COSECHA,POST COSECHA,PRE SELECCIÚN Y ACOPIO DE DURAZNO DE PRODUCTORES DE LA ASOCIACIÚN AGROPECUARIA DE PRODUCTORES DE CARHUAZ,PROVINCIA DE CARHUAZ.",PALTA Y OTROS FRUTALES,ASOCIACION AGROPECUARIA DE PRODUCTORES CARHUAZ,,DURAZNO,MELOCOTON FRESCO,ANCASH,CARHUAZ,TINCO,2770720,0,0,0,0,1500000,,115,0,0
ANC-2016-21,"MEJORAMIENTO DE LOS PROCESOS DE COSECHA, POST COSECHA Y GENERACIÛN DE VALOR AGREGADO A LA PRODUCCIÛN DE DURAZNO DE PRODUCTORES DE LA COOPERATIVA ASOCIACIÛN DE PRODUCTORES DE DURAZNO DEL VALLE FORTALEZ",PALTA Y OTROS FRUTALES,COOPERATIVA AGRARIA VALLE DE FORTALEZA,,DURAZNO,MELOCOTON FRESCO,ANCASH,BOLOGNESI,,9264582.5,0,0,0,0,1000000,3500000,95,0,0
ANC-2016-22,"IMPLEMENTACIÛN DE BPA Y COMERCIALIZACIÛN DE PALTA FUERTE Y HASS EN FORMA ORGANIZADA, IMPLEMENTANDO ACTIVIDADES DE SELECCIÛN Y CLASIFICACIÛN EN EL CENTRO DE ACOPIO DE LA ORGANIZACIÛN.",PALTA Y OTROS FRUTALES,ASOCIACION DE PRODUCTORES DE PALTA DE MORO,,PALTA,PALTA FUERTE,ANCASH,SANTA,MORO,2490442.3,0,0,0,0,1000000,1200000,55,0,0
ANC-2016-23,"ASISTIR TECNICAMENTE LOS PROCESOS DE COSECHA,POST COSECHA Y ORGANIZAR EL ACOPIO DE LA PRODUCCION DE PALTA HASS PARA EXPORTACIÚN DE PEQUEÒOS PRODUCTORES ASOCIADOS DE LA REGIÚN ANCASH",PALTA Y OTROS FRUTALES,EUROFRESH PERU S.A.C,,PALTA,PALTA HASS,ANCASH,SANTA,MORO,23219996.46,23219996.46,0,0,0,100000,10000000,60,0,0
ANC-2016-24,"FORTALECER LA COMPETITIVIDAD PRODCUTIVA Y BUENAS PRACTICAS ACUICOLAS-BPA,PARA LA PRODUCCIÚN DE TRUCHAS EN LAS COMUNIDADES CAMPESINAS DE SAN BARTOLOME DE ACOPALCA,CATAC, SHILLA Y HUARAZ",TRUCHA,COMUNIDAD CAMPESINA SAN BARTOLOME DE ACOPALCA,,TRUCHA,TRUCHA ENTERA FRESCA,ANCASH,HUARI,HUARI,634389.5,0,0,0,0,500000,,125,0,0
ANC-2016-25,IMPLEMENTACIÚN DE MEJORAR EN EL PROCESO DE POST COSECHA DESARROLLANDO ACTIVIDADES DE SELECCIÚN Y CLASIFICACIÚN Y ORGANIZAR EL ACOPIO Y COMERCIALIZACIÚN DE PALTA HASS DE ACUERDO A LAS EXIGENCIAS DEL,PALTA Y OTROS FRUTALES,ASOCIACIÛN DE PRODUCTORES AGRARIOS DE PALLASCA,,PALTA,PALTA HASS Y FUERTE,ANCASH,PALLASCA,CABANA,0,136000,0,0,0,500000,,150,0,0
ANC-2016-27,"FORTALECER LA COMPETITIVIDAD PRODUCTIVA Y BUENAS PRACTICAS ACUICOLAS-BPA,PARA LA PRODUCCIÚN DE TRUCHAS EN LA ASOCIACIÚN DE PRODUCTORES DE TRUCHA DE ANCASH.",TRUCHA,ASOCIACIÛN DE PRODUCTORES DE TRUCHA AGUA DULCE DE ANCASH,,TRUCHA,TRUCHA ENTERA FRESCA,ANCASH,RECUAY,CATAC,226980,0,0,0,0,150000,,40,0,0
ANC-2016-32,MEJORA DE LA GASTRONOMIA Y REVALORACIÚN DE LOS INSUMOS LOCALES DEL EMPRENDIMIENTO DE TURISMO RURAL COMUNITARIO DE HUAMACCHUCO,TURISMO ANDINO,ASOCIACIÛN DE TURISMO RURAL COMUNITARIO HUASCAR Y HUANDY,,TURISMO RURAL COMUNITARIO,TURISMO RURAL COMUNITARIO,ANCASH,YUNGAY,YUNGAY,2060,0,0,0,0,150000,,25,0,0
ANC-2016-33,MEJORA DE LA GASTRONOMIA Y REVALORACIÚN DE LOS INSUMOS LOCALES DEL EMPRENDIMIENTO DE TURISMO RURAL COMUNITARIO DE VICOS,TURISMO ANDINO,ASOCIACIÛN DE TURISMO RURAL COMUNITARIO CUYAQUI WAYI VICOS,,TURISMO RURAL COMUNITARIO,TURISMO RURAL COMUNITARIO,ANCASH,CARHUAZ,MARCARA,11550,0,0,0,0,100000,,33,0,0
ANC-2016-34,IMPLEMENTAR CONOCIMIENTOS TÈCNICOS PARA MEJORAR LA CALIDAD Y DISEÒO DE LA ARTESANIA PARA ACCEDER A MERCADOS COMPETITIVOS.,OTROS,ASOCIACIÛN DE ARTESANOS DE TALLADO EN PIEDRA DE CHAVÌN DE HUANTAR.,,ARTESANIA,ARTESANIA EN PIEDRA,ANCASH,HUARI,CHAVIN DE HUANTAR,,0,0,0,0,50000,,35,0,0
ANC-2016-35,"IMPLEMENTACIÚN DE PROCESOS DE SELECCIÚN, CLASIFICACIÚN Y CATEGORIZACIÚN DE LANA,GENERANDO VALOR AGREGADO A LAS PRODUCCIONES DE LANA DE OVINO DE LA COMUNIDAD CAMPESINA DE CATAC,DISTRITO DE CATAC PROVI",GANADERIA ALTOANDINA,COMUNIDAD CAMPESINA DE CATAC,,LANA DE OVINO,LANA DE OVINO CATEGORIZADA,ANCASH,RECUAY,CATAC,88800,0,0,0,0,500000,,650,0,0
ANC-2016-36,"IMPLEMENTACIÚN DE PROCESOS DE SELECCIÚN, CLASIFICACIÚN Y CATEGORIZACIÚN DE LANA,GENERANDO VALOR AGREGADO A LAS PRODUCCIONES DE LANA DE OVINO DE LA COMUNIDAD SAN MIGUEL DE UTUCUYACU,DISTRITO DE CATAC",GANADERIA ALTOANDINA,COMUNIDAD CAMPESINA UTCUYACU,,LANA DE OVINO,LANA DE OVINO CATEGORIZADA,ANCASH,RECUAY,CATAC,78646.16,0,0,0,0,450000,,480,0,0
