Cod. Plan,Nombre Plan de negocio,Programa,Cliente,Comprador,Producto,Sub producto,Departamento,Provincia,Distrito,Ejecutado,,,,,Proyectado,,,,
,,,,,,,,,,Ventas,Venta Exportacion,Beneficiarios,Jornales,Inversion,Ventas,Venta Exportacion,Beneficiarios,Jornales,Inversion
ARE-2016-06,MEJORA DE LA COMPETITIVIDAD PRODUCTIVA DEL CULTIVO DE PALTA EN EL VALLE DE QUICACHA,PALTA Y OTROS FRUTALES,ASOCIACION DE PRODUCTORES DE PALTA - TIRUQUE,,PALTA,PALTA HASS Y FUERTE,AREQUIPA,CARAVELI,QUICACHA,691740,0,44,0,0,149136,,108,0,0
ARE-2016-07,MEJORA DE LA COMPETITIVIDAD PRODUCTIVA DEL CULTIVO DE PALTA EN LA IRRIGACION MAJES,PALTA Y OTROS FRUTALES,ASOCIACION DE PRODUCTORES AGROEXPORTADORES EL MAJE—O,,PALTA,PALTA HASS,AREQUIPA,CAYLLOMA,MAJES,,0,0,0,0,756000,,35,0,0
ARE-2016-08,MEJORA DE LA COMPETITIVIDAD PRODUCTIVA DEL CULTIVO DE PALTA EN EL VALLE DE CHICHAS,PALTA Y OTROS FRUTALES,ASOCIACION DE PRODUCTORES DE PALTA DEL VALLE DE CHICHAS,,PALTA,PALTA HASS,AREQUIPA,CONDESUYOS,CHICHAS,,0,0,0,0,0,,0,0,0
ARE-2016-09,"ARTICULACIÛN COMERCIAL, PRODUCCIÛN Y PROCESAMIENTO DE KIWICHA ORG·NICA PARA EXPORTACIÛN",GRANOS ANDINOS,ASOCIACION DE PRODUCTORES DE CULTIVOS ORGANICOS DE LA PROVINCIA DE LA UNION-COTAHUASI,,KIWICHA,KIWICHA EN GRANOS,AREQUIPA,LA UNION,COTAHUASI,,0,0,0,0,0,,0,0,0
ARE-2016-10,"ARTICULACIÛN COMERCIAL, PRODUCCIÛN Y PROCESAMIENTO DE QUINUA ORG·NICA PARA EXPORTACIÛN",GRANOS ANDINOS,ASOCIACION DE PRODUCTORES DE CULTIVOS ORGANICOS DE LA PROVINCIA DE LA UNION-COTAHUASI,,QUINUA,QUINUA ORGANICA,AREQUIPA,LA UNION,COTAHUASI,,0,0,0,0,0,,0,0,0
ARE-2016-11,PRODUCCIÛN PROCESAMIENTO Y ARTICULACIÛN COMERCIAL DE QUINUA ORG·NICA EN EL VALLE DEL COLCA,GRANOS ANDINOS,ASOCIACION DE PRODUCTORES ECOLOGICOS DEL COLCA,,QUINUA,QUINUA,AREQUIPA,CAYLLOMA,CHIVAY,,0,0,0,0,203057,,23,0,0
ARE-2016-12,"PRODUCCIÛN, PROCESAMIENTO Y ARTICULACIÛN COMERCIAL DE QUINUA ORG·NICA EN LA PROVINCIA DE CONDESUYOS",GRANOS ANDINOS,COOPERATIVA AGRARIA BIO-ORGANICA CONDESUYOS - COOPABIC,,QUINUA,QUINUA ORGANICA,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,714856,0,20,0,0,552000,,76,0,0
ARE-2016-13,POST COSECHA Y ARTICULACIÛN COMERCIAL DE ORÈGANO DE HUAMBO,OTROS,ASOCIACION DE PRODUCTORES AGRICOLAS DE OREGANO SAN ISIDRO HUAMBO - ASOCIACION DE PRODUCTORES DE OREGANO Y PLANTAS AROMATICAS DE CHININI,,HIERBAS AROMATICAS,OREGANO,AREQUIPA,CAYLLOMA,HUAMBO,,0,0,0,0,787291,,114,0,0
ARE-2016-14,INNOVACIÛN E IMPLEMENTACIÛN DE LA CADENA PRODUCTIVA DEL CULTIVO DE AGUAYMANTO PARA LA ASOCIACIÛN DE PRODUCTORES DE BERRIES - MAJES,PERU BERRIES,ASOCIACION DE PRODUCTORES DE BERRIES - MAJES,,AGUAYMANTO,AGUAYMANTO FRESCO,AREQUIPA,CAYLLOMA,MAJES,,0,0,0,0,64800,,20,0,0
ARE-2016-15,FORTALECIMIENTO DE CAPACIDADES EN LA PRODUCCION DE TRUCHA Y SU ARTICULACION COMERCIAL EVISCERADA Y PROCESADA EN LA LAGUNA CARHUALACA DEL DISTRITO DE C,TRUCHA,COOPERATIVA DE PRODUCCION ESPECIALES ACUICOLA LOS ANDES DE CAYLLOMA-COPROANDES,,TRUCHA,TRUCHA FRESCA,AREQUIPA,CAYLLOMA,CAYLLOMA,26376,0,36,0,0,209565,,34,0,0
ARE-2016-16,FORTALECIMIENTO DE CAPACIDADES EN LA PRODUCCIÛN DE TRUCHA Y SU ARTICULACIÛN COMERCIAL EVISCERADA Y PROCESADA EN LA REPRESA DE CONDOROMA - CALLALLI,TRUCHA,ASOCIACION DE SERVICIOS PESQUEROS ARCO IRIS,,TRUCHA,TRUCHA FRESCA,AREQUIPA,CAYLLOMA,CALLALLI,21175,0,14,0,0,262574,,18,0,0
ARE-2016-17,INNOVACION Y ESTANDARIZACION EN LA GESTION DE INOCUIDAD Y CALIDAD DE PROCESAMIENTO DE QUESOS MADUROS EN LA EMPRESA PRODESUR,QUESOS MADUROS,PRODUCTOS Y DERIVADOS LACTEOS DEL SUR E.I.R.L.,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CAYLLOMA,MAJES,2130000,0,19,0,0,1278000,,25,0,0
ARE-2016-18,FORTALECIMIENTO DE CAPACIDADES DE PROVEEDORES DE LECHE PARA LA ELABORACION DE QUESOS DE LA EMPRESA LAIVE S.A.,QUESOS MADUROS,LAIVE S A,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CASTILLA,APLAO,31031693.7,0,83,0,0,29000000,,81,0,0
ARE-2016-19,INNOVACION Y DESARROLLO TECNOLOGICO DEL CONSORCIO L·CTEO AREQUIPA - EMPRESA SANTISIMA TRINIDAD DE CHUQUIBAMBA E.I.R.L,QUESOS MADUROS,SANTISIMA TRINIDAD DE CHUQUIBAMBA E.I.R.L.,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CONDESUYOS,CHUQUIBAMBA,,0,0,0,0,1417947,,24,0,0
ARE-2016-20,INNOVACION Y ESTANDARIZACION EN LA GESTION DE INOCUIDAD Y CALIDAD DE PROCESAMIENTO DE QUESOS MADUROS DE ASOCIACI”N DE PRODUCTORES AGROPECUARIOS DE MA,QUESOS MADUROS,ASOCIACION DE PRODUCTORES AGROPECUARIOS MAJES,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CAYLLOMA,MAJES,922700,0,52,0,0,194400,,60,0,0
ARE-2016-21,"GESTION DE INOCUIDAD Y ESTANDARIZACION DE LA CADENA PRODUCTIVA, DEL CONSORCIO L·CTEO AREQUIPA - EMPRESA SE—OR DE LOS MILAGROS E.I.R.L",QUESOS MADUROS,LACTEOS SR. DE LOS MILAGROS,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CONDESUYOS,IRAY,,0,0,0,0,0,,20,0,0
ARE-2016-22,"MEJORAMIENTO DE LA PRODUCCIÛN, ARTICULACIÛN COMERCIAL Y COMPETITIVIDAD DE EMPRESA QUESOS TRADICION EIRL",QUESOS MADUROS,QUESOS TRADICION E.I.R.L.,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,AREQUIPA,CERRO COLORADO,,0,0,0,0,0,,15,0,0
ARE-2016-23,MEJORAMIENTO DE LA COMPETITIVIDAD DE LOS PRODUCTORES LECHEROS DEL CENTRO DE ACOPIO LECHERO ASOCIACION DE PRODUCTORES AGROPECUARIOS MAJES,QUESOS MADUROS,ASOCIACION DE PRODUCTORES AGROPECUARIOS MAJES,,DERIVADOS LACTEOS,LECHE FRESCA,AREQUIPA,CAYLLOMA,MAJES,2520000,0,97,0,0,6263452,,90,0,0
ARE-2016-24,MEJORAMIENTO DE LA COMPETITIVIDAD DE LOS PRODUCTORES LECHEROS DE LA ASOCIACION CENTRO DE ACOPIO SEÒOR DE LOS MILAGROS,QUESOS MADUROS,ASOCIACION CENTRO DE ACOPIO DE LECHE SE—OR DE LOS MILAGROS,,DERIVADOS LACTEOS,LECHE FRESCA,AREQUIPA,CAYLLOMA,MAJES,2721600,0,93,0,0,12044700,,92,0,0
ARE-2016-25,MEJORAMIENTO DE LA COMPETITIVIDAD DE LOS PRODUCTORES LECHEROS DE LA ASOCIACIÛN DE PRODUCTORES EL PEDREGAL,QUESOS MADUROS,ASOCIACION DE PRODUCTORES DE LECHE EL PEDREGAL,,DERIVADOS LACTEOS,LECHE FRESCA,AREQUIPA,CAYLLOMA,MAJES,799200,0,60,0,0,1198800,,73,0,0
ARE-2016-26,MEJORAMIENTO DE LA COMPETITIVIDAD DE LOS PRODUCTORES LECHEROS DE LA ASOCIACIÛN CENTRO DE ACOPIO LECHERO EL PARAISO,QUESOS MADUROS,ASOCIACION CENTRO DE ACOPIO DE LECHE EL PARAISO,,DERIVADOS LACTEOS,LECHE FRESCA,AREQUIPA,CAYLLOMA,MAJES,2016000,0,40,0,0,0,,63,0,0
ARE-2016-27,"MEJORAMIENTO DE LA COMPETITIVIDAD DE LOS DERIVADOS LACTEOS CON LA DIVERSIFICACI”N DE SUS PRODUCTOS, PARA LA COOPERATIVA AGRARIA DE TRABAJADORES 9 DE O",QUESOS MADUROS,COOPERATIVA AGRARIA DE TRABAJADORES 9 DE OCTUBRE,,DERIVADOS LACTEOS,QUESOS,AREQUIPA,CAYLLOMA,YANQUE,728910,0,13,0,0,607533,,15,0,0
AYA-2016-19,DESARROLLO DE OFERTA Y ARTICULACI”N COMERCIAL DE QUINUA ORG¡NICA PARA EXPORTACIÛN EN EL DISTRITO DE ACOCRO,GRANOS ANDINOS,COOPERATIVA AGRARIA DE PRODUCTORES ORG¡NICOS EL APU CHULLU DEL DISTRITO DE ACOCRO - CAPAC LTDA,VINCULOS AGRÕCOLAS,QUINUA,QUINUA ORGANICA,AYACUCHO,HUAMANGA,ACOCRO,0,5666901,35,0,0,2500000,,143,250,0
AYA-2016-20,DESARROLLO DE OFERTA Y ARTICULACION COMERCIAL DE QUINUA ORGANICA EN EL DISTRITO DE ACOSVINCHOS,GRANOS ANDINOS,"COOPERATIVA AGRARIA DE PRODUCTORES ORGANICOS CAMPO VERDE DE ACOSVINCHOS - ""CAPOCAVE ACOSVINCHOS""",VINCULOS AGRÕCOLAS,QUINUA,QUINUA ORGANICA,AYACUCHO,HUAMANGA,ACOS VINCHOS,0,1691250,42,0,0,1000000,,50,0,0
AYA-2016-21,DESARROLLO DE OFERTA Y ARTICUALCION COMERCIAL DE QUINUA ORGANICA EN EL DISTRITO DE CHIARA,GRANOS ANDINOS,COOPERATIVA AGRARIA DE PRODUCTORES DE CULTIVOS ANDINOS - CHIARA,SIERRA TRES CORAZONES,QUINUA,QUINUA ORGANICA,AYACUCHO,HUAMANGA,CHIARA,0,1820000,30,0,0,2500000,,150,250,0
AYA-2016-23,FORTALECIMIENTO DE CAPACIDADES PARA LA INNOVACION EN EL PROCESAMIENTO DE GRANOS ANDINOS EN LA REGIONA AYACUCHO,GRANOS ANDINOS,CORPORACI”N AGRO INDUSTRIAL DEL SUR SAC,APLEX TRADING SOCIEDAD ANONIMA CERRADA APLEX TRADING S.A.C.,QUINUA,QUINUA ORGANICA Y CONVENCIONAL PROCESADA,AYACUCHO,HUAMANGA,SAN JUAN BAUTISTA,0,4069250,0,0,0,2500000,,120,250,0
AYA-2016-01,DESARROLLO DE OFERTA Y ARTICULACI”N COMERCIAL DE QUINUA ORG¡NICA PARA EXPORTACIÛN,GRANOS ANDINOS,ASOCIACION DE PRODUCTORES DE QUINUA Y GRANOS ANDINOS DE LA REGION AYACUCHO - APOQUA,NUTRI BODY SAC,QUINUA,QUINUA ORGANICA PROCESADA,AYACUCHO,HUAMANGA,TAMBILLO,0,7194511.01,237,0,0,8500000,,450,8500,0
AYA-2016-02,DESARROLLO DE OFERTA Y ARTICULACI”N COMERCIAL DE QUINUA ORG¡NICA PARA EXPORTACIÛN,GRANOS ANDINOS,MANCOMUNIDAD MUNICIPAL RIO CACHI,CORPORACION AGROINDUSTRIAL DEL SU SAC/QUINUA ANDINA,QUINUA,QUINUA ORGANICA,AYACUCHO,HUAMANGA,ACOCRO,0,0,95,0,0,2000000,,400,2000,0
AYA-2016-07,FORTALECIMIENTO DE LA CADENA PRODUCTIVA DE CACAO ORG·NICO Y CONVENCIONAL.,CACAO,"ASOC. AGROGANADERO, INDUSTR. Y MULTISERVICIOS NUEVO RENACIMIENTO DE AGUA DULCE ""A.G.I. MULSER - A.DULCE""",SUMAQAO S.A.C,CACAO,CACAO ORGANICO,AYACUCHO,LA MAR,ANCO,0,1576400.3,80,0,0,6500000,,140,3500,0
AYA-2016-08,ARTICULACION COMERCIAL Y DESARROLLO DE PRODUCTOS DERIVADOS DEL CACAO DE LA ZONA DEL VRAEM,CACAO,ASOCIACION DE PRODUCTORES AGROPECUARIOS E INDUSTRIALES EL CHUNCHITO,,CACAO,CACAO,AYACUCHO,LA MAR,AYNA,0,0,0,0,0,100000,,80,100,0
AYA-2016-09,ARTICULACION COMERCIAL Y DESARROLLO DE PRODUCTOS DERIVADOS DEL CACAO DE LA ZONA DEL VRAEM,CACAO,ASOCIACION DE NUCLEO DE PRODUCTORES AGROPECUARIOS DEL DISTRITO DE AYNA SAN FRANCISCO,,CACAO,CACAO,AYACUCHO,LA MAR,AYNA,,0,0,0,0,100000,,80,100,0
AYA-2016-10,ARTICULACION COMERCIAL Y DESARROLLO DE PRODUCTOS DERIVADOS DEL CACAO DE LA ZONA DEL VRAEM,CACAO,"ASOCIACION DE PRODUCTORES AGROPECUARIOS LAS PALMAS DE AYNA, ASPA-AYNA",,CACAO,CACAO,AYACUCHO,LA MAR,AYNA,0,0,0,0,0,100000,,80,100,0
AYA-2016-12,ASISTENCIA T…CNICA Y COMERCIAL PARA EL FORTALECIMIENTO DE LAS CAPACIDADES T…CNICAS EN EL MANEJO DE ALPACAS EN LA ZONA SUR DE AYACUCHO,GANADERIA ALTOANDINA,CRIADORES DE CAMELIDOS SUDAMERICANOS DEL DISTRITO DE MORCOLLA EN LA PROVINCIA DE SUCRE EN EL DEPARTAMENTO DE AYACUCHO,,FIBRA DE ALPACA,FIBRA DE ALPACA,AYACUCHO,SUCRE,MORCOLLA,,0,0,0,0,300000,,280,300,0
AYA-2016-13,ASISTENCIA T…CNICA Y COMERCIAL PARA EL FORTALECIMIENTO DE LAS CAPACIDADES T…CNICAS EN EL MANEJO DE ALPACAS EN LA ZONA SUR DE AYACUCHO,GANADERIA ALTOANDINA,"CRIADORES DE CAMELIDOS SUDAMERICANOS DEL CENTRO POBLADO DE PAMPAMARCA Y ANEXOS, DISTRITO DE CORA CORA PROVINCIA DE PARINACOCHAS - AYACUCHO",INCA TOPS SAC,FIBRA DE ALPACA,FIBRA DE ALPACA,AYACUCHO,PARINACOCHAS,CORACORA,0,680195.5,0,0,0,150000,,170,150,0
AYA-2016-17,DESARROLLO DE OFERTA Y ARTICULACION COMERCIAL DE PALTA HASS Y FUERTE CON FINES DE EXPORTACION,PALTA Y OTROS FRUTALES,ASOCIACION DE PRODUCTORES DE PALTA VALLE TOROBAMBA,INCAVO SAC,PALTA,PALTA HASS Y FUERTE,AYACUCHO,LA MAR,SAN MIGUEL,0,328106.17,23,0,0,1250000,,160,125,0
LAM-2016-29,MEJORAMIENTO DE LA CALIDAD DE TAZA Y NIVEL DE ACOPIO DEL CAFE EN EL DISTRITO DE QUEROCOTILLO,CAFE,COOPERATIVA AGRARIA QUEROHUAMBOS,,CAFE,CAFE ORO,CAJAMARCA,CUTERVO,QUEROCOTILLO,,0,0,0,0,500000,,150,600,0
LAM-2016-12,MEJORAMIENTO DE LA CALIDAD DE TAZA Y NIVEL DE ACOPIO DEL CAFE EN EL DISTRITO DE QUEROCOTO,CAFE,COOPERATIVA AGRARIA QUEROHUAMBOS,,CAFE,CAF… ORG¡NICO,CAJAMARCA,CHOTA,QUEROCOTO,,0,0,0,0,500000,,200,800,0
LAM-2016-20,MEJORAMIENTO DE LA OFERTA EXPORTABLE DE LA PANELA GRANULADA DE LA CENTRAL CEPRESA,OTROS,CENTRAL DE PRODUCTORES ECOL”GICOS SOLIDARIOS POR EL AGRO-CEPRESA,,PANELA,PANELA GRANULADA,CAJAMARCA,CHOTA,LLAMA,249029.65,0,0,0,0,20000,,40,160,0
CAJ-2016-24,MEJORAMIENTO DE LA COMPETIVIDAD PRODUCTIVA Y COMERCIAL DEL CAFE,CAFE,CENTRAL DE CAFETALEROS CAMINOS DEL INCA - CCACI,,CAFE,,CAJAMARCA,CHOTA,CHOROPAMPA,,0,0,0,0,500000,,150,0,0
CAJ-2016-23,MEJORA DE LA COMPETITIVIDAD DE LA CARI Y DEL ACCESO A MERCADOS,CAFE,COOPERATIVA AGRARIA RUTAS DEL INCA,,CAFE,CAFE ORO,CAJAMARCA,CHOTA,QUEROCOTO,543307.4716,0,0,0,0,500000,,200,800,0
CAJ-2016-27,MEJORAMIENTO DE LA CALIDAD DE RERIVADOS LACTEOS Y DEL QUESO SEMI MADURO EN LA REGION DE CAJAMARCA EN CHOTA DISTRITOS DE QUEROCOTO Y HUAMBOS,QUESOS MADUROS,ASOCIACION PROCESADORES LACTEOS QUEROCOTO,,DERIVADOS LACTEOS,QUESOS,CAJAMARCA,CHOTA,QUEROCOTO,2319301.74,0,0,0,0,200000,,30,120,0
LAM-2016-26,ESTANDARIZACIÛN DEL PROCESO DE DERIVADOS DE CACAO Y FORMALIZACIÛN EMPRESARIAL PARA INCREMENTAR LA COMPETITIVIDAD PRODUCTIVA DE LA ASOCIACIÛN BRISAS DE,CACAO,ASOCIACION BRISAS DEL MARA—ON,,CACAO,CACAO ORGANICO,CAJAMARCA,JAEN,JAEN,,0,0,0,0,200000,,40,160,0
LAM-2016-24,MEJORAMIENTO DE LA COMPETITIVIDAD PRODUCTIVA Y COMERCIAL DEL CACAO - ASOCIACIÛN DE PRODUCTORES ECOLÛGICOS VALLE DEL HUALLAPE,CACAO,ASOCIACION DE PRODUCTORES ECOL”GICOS VALLE DE HUALLAPE,,CACAO,CACAO ORGANICO,CAJAMARCA,JAEN,SANTA ROSA,,0,0,0,0,400000,,50,200,0
LAM-2016-22,ESTANDARIZACION DE LA CALIDAD Y ACOPIO DE GRANADILLA MEJORADA EN QUEROCOTO,PALTA Y OTROS FRUTALES,PROMOTORA DE LA AGRICULTURA SUSTENTABLE S.A.- PROASSA,,GRANADILLA,GRANADILLA,CAJAMARCA,CHOTA,QUEROCOTO,229000,0,0,0,0,600000,,60,240,0
LAM-2016-23,ESTANDARIZACION DE CALIDAD Y ACOPIO DE GRANADILLA MEJORADA EN JAEN,PALTA Y OTROS FRUTALES,PROMOTORA DE LA AGRICULTURA SUSTENTABLE S.A.- PROASSA,,GRANADILLA,GRANADILLA,CAJAMARCA,JAEN,CHONTALI,,0,0,0,0,400000,,60,240,0
LAM-2016-21,"MEJORAMIENTO DE LOS CALIBRES DE PALTA HASS Y NIVEL DE ACOPIO EN SANTA CRUZ, LAJAS Y LLAMA",PALTA Y OTROS FRUTALES,EUROFRESH PERU S.A.C,,PALTA,PALTA HASS,CAJAMARCA,SANTA CRUZ,,,0,0,0,0,1300000,,60,240,0
CAJ-2016-01-DPN,"MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR DE LOS BERRIES PARA SER SUMINISTRADOS CON VALOR AGREGADO (CONGELADOS) AL MERCADO EXTERIOR, A S",PERU BERRIES,AGRICULTOR INDIVIDUAL- AM…RICO CORTEZ,AGROINVERSIONES DEL CAMPO E.I.R.L,FRAMBUESA,PLANTINES DE FRAMBUESA,CAJAMARCA,CAJAMARCA,,371406.29,0,0,0,0,16000,144000,460,460,90000
CAJ-2016-02-DPN,"MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR DE LOS BERRIES PARA SER SUMINISTRADOS CON VALOR AGREGADO (CONGELADOS) AL MERCADO EXTERIOR, A S",PERU BERRIES,AGRICULTOR INDIVIDUAL- CLOTILDE CASTREJ”N,AGROINVERSIONES DEL CAMPO E.I.R.L,FRAMBUESA,PLANTINES DE FRAMBUESA,CAJAMARCA,CAJAMARCA,,183144.73,0,0,0,0,12800,115200,200,460,72000
CAJ-2016-05-DPN,"ESTANDARIZACIÛN Y COMERCIALIZACIÛN DE LOS QUESOS CAJAMARQUINOS PARA SU VENTA EN EL MERCADO NACIONAL ASÌ COMO EN EL INTERNACIONAL, A SER IMPLEMENTADO",QUESOS MADUROS,INDUSTRIA DE ALIMENTOS MACKEY E. I. R.L,CENCOSUD RETAIL PER˙ SA,QUESO,QUESOS MADUROS,CAJAMARCA,CAJAMARCA,,373549.5,0,0,0,0,160000,0,620,200,50000
CAJ-2016-06-DPN,"ESTANDARIZACIÛN Y COMERCIALIZACIÛN DE LOS QUESOS CAJAMARQUINOS PARA SU VENTA EN EL MERCADO NACIONAL ASÌ COMO EN EL INTERNACIONAL, A SER IMPLEMENTADO",QUESOS MADUROS,ASOCIACIÛN DE PRODUCTORES AGROINDUSTRIALES DE CELENDÌN ñ APACEL,ASOCIACIÛN CENTRAL DE GANADEROS,QUESO,QUESOS MADUROS,CAJAMARCA,CELENDIN,CELENDIN,1381200,0,0,0,0,142000,0,260,200,28000
CAJ-2016-07-DPN,MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR RESPECTO A LA TRANSFORMACIÛN DE LAS RAMAS DE PINO EN,FORESTAL,ASOCIACIÛN CIVIL PARA LA INVESTIGACION Y DESARROLLO FORESTAL - ADEFOR,ASOCIACI”N CIVIL PARA LA INVESTIGACI”N Y DESARROLLO FORESTAL - ADEFOR,MADERA DE PINO,PICADILLO,CAJAMARCA,SAN PABLO,,,0,0,0,0,556000,,290,600,288000
CAJ-2016-03,MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR DE LOS AJÌES (AJÌ TABASCO) PARA SU PROCESAMIENTO/TRANSFORMACIÛN EN PASTAS Y SALSAS PARA SER SU,OTROS,AGRICULTORES AGRUPADOS E INDIVIDUALES - HILARIO BRICE—O,CAPSICUM ANDINO SAC,AJIES,AJÌ TABASCO,CAJAMARCA,CAJABAMBA,CONDEBAMBA,2221251.76,2221251.76,0,0,0,0,608000,390,560,50000
CAJ-2016-04,MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR DE LOSAJÌES (AJÌ CAYENA) PARA SU PROCESAMIENTO/TRANSFORMACIÛN EN PASTAS Y SALSAS PARA SER SUMI,OTROS,AGRICULTORES AGRUPADOS E INDIVIDUALES -CAJABAMBA,CAPSICUM ANDINO SAC,AJIES,AJÌ CAYENA,CAJAMARCA,CAJABAMBA,CACHACHI,,0,0,0,0,0,442038,390,560,38000
CAJ-2016-26,MEJORAMIENTO DE LA COMPETITIVIDAD PRODUCTIVA Y COMERCIALDE LOS DERIVADOS LACTEOS EN QUEROCOTO Y HUAMBOS EN REGION CAJAMARCA,QUESOS MADUROS,ASOCIACION PROCESADORES LACTEOS QUEROCOTO,,DERIVADOS LACTEOS,QUESOS,CAJAMARCA,CHOTA,QUEROCOTO,,0,0,0,0,49634000,,0,0,593000
CAJ-2016-13,MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR DEL FRIJOL PARA PROCESAMIENTO/TRANSFORMACIÛN EN CONGELADOS PARA SER DIRIGIDO AL MERCADO EXTERI,OTROS,PRODUCTORES AGRUPADOS E INDIVIDUALES DE LAS PROVINCIAS DE SAN MARCOS Y CAJABAMBA,GRUPO BECING S.R.L.,FREJOL,FRIJOL DE PALO CONGELADO,CAJAMARCA,SAN MARCOS,GREGORIO PITA,336000,0,0,0,0,0,436000,430,200,300000
CAJ-2016-14,MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR DEL AJÌ TABASCO Y AJÌ CAYENA PARA SU PROCESAMIENTO/TRANSFORMACIÛN EN PASTAS PARA SER SUMINISTR,OTROS,AGRICULTORES AGRUPADOS E INDIVIDUALES - HILARIO BRICE—O,CAPSICUM ANDINO SAC,AJIES,PASTA DE AJÕ TABASCO Y AJÕ CAYENA,CAJAMARCA,CAJABAMBA,CACHACHI,,0,0,0,0,0,440000,430,640,300000
CAJ-2016-12,"MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR DE LA FRAMBUESA PARA SER SUMINISTRADOS CON VALOR AGREGADO (CONGELADOS) AL MERCADO EXTERIOR, A",PERU BERRIES,AGRICULTOR INDIVIDUAL - BRUNO,AGROINVERSIONES DEL CAMPO E.I.R.L,FRAMBUESA,PLANTINES DE FRAMBUESA,CAJAMARCA,SAN PABLO,,407252.44,0,0,0,0,176000,0,410,460,99000
CAJ-2016-11,"MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR DE LA FRAMBUESA PARA SER SUMINISTRADOS CON VALOR AGREGADO (CONGELADOS) AL MERCADO EXTERIOR, A",PERU BERRIES,AGRICULTOR INDIVIDUAL - LUIS FOC”N,AGROINVERSIONES DEL CAMPO E.I.R.L,FRAMBUESA,PLANTINES DE FRAMBUESA,CAJAMARCA,CAJAMARCA,MATARA,1089271.45,0,0,0,0,192000,0,410,460,108000
CAJ-07-2015-DPN,MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR DE LA MADERA DE PINO - CAJAMARCA,FORESTAL,ASOCIACIÛN CIVIL PARA LA INVESTIGACION Y DESARROLLO FORESTAL - ADEFOR,,MADERA DE PINO,PREFABRICADOS DE MADERA DE PINO,CAJAMARCA,CAJAMARCA,CAJAMARCA,1396958.4,0,0,0,0,743537,,0,0,0
CAJ-2016-08,MEJORAMIENTO DE LA COMPETITIVIDAD DE LA CADENA DE VALOR DE LA TRANSFORMACIÛN DE LA MADERA DE PINO EN PARIHUELAS/PALLETS PARA EL MERCADO NACIONAL Y DE,FORESTAL,DERIVADOS DE LA MADERA - DERIMA SRL.,ASOCIACI”N CIVIL PARA LA INVESTIGACI”N Y DESARROLLO FORESTAL - ADEFOR,MADERA DE PINO,PARIHUELAS (PALLETS),CAJAMARCA,SAN PABLO,,1179000,0,0,0,0,324000,0,220,500,142000
CAJ-02-2015-DPN,CADENA DE VALOR DE LA LECHE FRESCA,QUESOS MADUROS,ASOCIACI”N DE PRODUCTORES AGRARIOS E INDUSTRIALES DE NUEVA ESPERANZA COMPRENSI”N DEL DISTRITO DE MATARA,,DERIVADOS LACTEOS,LECHE FRESCA,CAJAMARCA,CAJAMARCA,CAJAMARCA,761554.7,0,0,0,0,595080,,182,50,0
CAJ-21-2015-DPN,COMERCIALIZACI”N DE TARA DE LA COOP. REDES UNIDAS AL MERCADO DE LIMA,FORESTAL,COOPERATIVA AGRARIA REDES UNIDAS,,TARA,VAINA DE TARA,CAJAMARCA,CAJABAMBA,CONDEBAMBA,2002823.5,0,0,0,0,238700,,163,0,0
CAJ-20-2015-DPN,MEJORA DE LOGÕSTICA DE ABASTECIMIENTO E IMPLEMENTACI”N Y MEJORA DE PROCESOS DE SELECCI”N Y POSTCOSECHA - CA—A DE AZ⁄CAR - PANELA,OTROS,AGROINDUSTRIAS CENTURION S.R.L,,PANELA,PANELA GRANULADA,CAJAMARCA,CAJABAMBA,CACHACHI,435545,0,0,0,0,311701,,58,0,0
CAJ-19-2015-DPN,COMERCIALIZACI”N DE TARA DE LA COOP. COEVAC SHAHUINDO AL MERCADO DE LIMA,FORESTAL,COOPERATIVA COEVAC-SHAHUINDO,,TARA,VAINA DE TARA,CAJAMARCA,CAJABAMBA,CONDEBAMBA,2014111.72,0,0,0,0,695600,,566,0,0
